text_after_cleaning,text,tweet_id,clean_tweets
aw ngoba savumelana that ngzoza lapho nkosazana,@DekaDladla @KNathii Aw ngoba savumelana that ngzoza lapho Nkosazana😢,tweet_1235553324046442496,aw ngoba savumelana that ngzoza lapho nkosazana😢
angifuni ukuthini kodwa hheyi kunini,"@Zi_Geda Angifuni ukuthini, kodwa hheyi kunini🤣🤣🤣😂",tweet_1423342117154402307,angifuni ukuthini kodwa hheyi kunini🤣🤣🤣😂
ngathi bewukhona ke kwivideo call bathi angibamele nabo sebezoqala ngeke bayimele nje eyokuhamba nami manje i am putting them into shame,"@SthembisoMkhize Ngathi bewukhona ke kwivideo call, bathi angibamele nabo sebezoqala ngeke bayimele nje eyokuhamba nami manje I am putting them into shame😂😂😂😂",tweet_1374076797638311952,ngathi bewukhona ke kwivideo call bathi angibamele nabo sebezoqala ngeke bayimele nje eyokuhamba nami manje i am putting them into shame😂😂😂😂
but abantu bejiki have already stocked up ‍️ bazoqedela ksasa,But abantu bejiki have already stocked up 🤷🏽‍♀️ Bazoqedela ksasa #AlcoholFreeSA,tweet_1242901534490472454,but abantu bejiki have already stocked up 🤷🏽‍♀️ bazoqedela ksasa
futhi kungari ka gaza lol futhi swona,Futhi kungari ka gaza lol 😂 futhi swona 😂😂 https://t.co/bx8bHUSNJh,tweet_1429095444890726404,futhi kungari ka gaza lol 😂 futhi swona 😂😂
ngiyaxolisa kakhulu ngalokhu bhuti ️,@KS_Nicholson Ngiyaxolisa kakhulu ngalokhu bhuti. 🙏🏽♥️,tweet_1394973897460797440,ngiyaxolisa kakhulu ngalokhu bhuti 🙏🏽♥️
cela ukbuza mabulala noma ukthiwa bengi wrong ubungangi discipline ngani ke eceleni mjayi,"“Cela uk’buza Mabulala, noma uk’thiwa bengi wrong, ubungangi discipline ngani ke eceleni” - Mjayi (2020) 😭 https://t.co/XDFuTBCict",tweet_1315577891426627584,cela ukbuza mabulala noma ukthiwa bengi wrong ubungangi discipline ngani ke eceleni mjayi 2020 😭
aibo mina ngangu sho case nogal wami nje,@_owamidlamini @mkwanaziangie 😟aibo mina ngangu sho case noGal wami nje!!,tweet_1325803874410762241,😟aibo mina ngangu sho case nogal wami nje
angithi awusho mina mhlobo wam,Angithi awusho mina mhlobo wam??😀😀 https://t.co/Gne47frA96,tweet_1238378638460026880,angithi awusho mina mhlobo wam😀😀
asihlobene nix she always tells us ukuthi akayena owakithi thina singabakwa khanyile yena owakubo,"Asihlobene nix she always tells us ukuthi akayena owakithi, thina singabakwa Khanyile yena owakubo 🤣 https://t.co/VHAY5Lq7Hr",tweet_1302945367328256003,asihlobene nix she always tells us ukuthi akayena owakithi thina singabakwa khanyile yena owakubo 🤣
wakhala u wathi ukuthakatha nomfundo uyamsaba umanqezula wemfundo khona lawadelela khon yino uma uyiqili uzowathola amaqili,#kanyenawe🤣🤣🤣 @Bhekamchunu wakhala u @NomMkhize1 wathi ukuthakatha Nomfundo uyamsaba uManqezula @sbo_fokol @ukhozi_fm weMfundo khona lawadelela khon yino 🤣🤣🤣 uma uyiqili uzowathola amaqili,tweet_1401878522050879492,🤣🤣🤣 wakhala u wathi ukuthakatha nomfundo uyamsaba umanqezula wemfundo khona lawadelela khon yino 🤣🤣🤣 uma uyiqili uzowathola amaqili
ngith angbuze bengi wrong yin mangifonela igagasi fm ngibazise nje ukuthi ukhozi luhamba phambili,#Isidlosasekuseni ngith angbuze bengi wrong yin mangifonela iGagasi fm ngibazise nje ukuthi uKhozi luhamba phambili?😤😤,tweet_1331821199287066624,ngith angbuze bengi wrong yin mangifonela igagasi fm ngibazise nje ukuthi ukhozi luhamba phambili😤😤
released yesterday jan mmmakudanswa ujuluke la engathi udakwe amadrugs unyakaza kamnandi nom uhlabe unyawo njengayo intokazi,Released Yesterday 28 Jan mmm🔥🔥🔥🔥akudanswa ujuluke la engathi udakwe amaDrugs unyakaza kamnandi nom uhlabe unyawo njengayo intokazi @LungyK https://t.co/BxvUQXeU5Y,tweet_1487306746032971777,released yesterday 28 jan mmm🔥🔥🔥🔥akudanswa ujuluke la engathi udakwe amadrugs unyakaza kamnandi nom uhlabe unyawo njengayo intokazi
kodwa akekho umuntu othandwa njengotrump in us ngicela uthule ubheke,@NhlivoTouch Kodwa akekho umuntu othandwa njengoTrump in US ngicela uthule ubheke 🤣😂😅,tweet_1253787699141632001,kodwa akekho umuntu othandwa njengotrump in us ngicela uthule ubheke 🤣😂😅
vele uhlala khona sure case wakubona phakathi,"@Tham_iie @T_Lembethe Vele uhlala khona, sure case wakubona phakathi😂🤣",tweet_1295008298664689664,vele uhlala khona sure case wakubona phakathi😂🤣
kshuth phela they prefer that smeg‍️ nawe uyabaz abantu abamnyama,@MlunguUnderSko kshuth phela they prefer that Smeg🤷🏾‍♂️ nawe uyabaz abantu abamnyama😒,tweet_1429764992061124609,kshuth phela they prefer that smeg🤷🏾‍♂️ nawe uyabaz abantu abamnyama😒
wethemba khona engambamba esepakishe ibhayibheli futhi wagcina ehambe nalo,@ThembaKaula @MaBlerh WeThemba khona engambamba esepakishe ibhayibheli futhi wagcina ehambe nalo😂😂😂,tweet_1393923239387279365,wethemba khona engambamba esepakishe ibhayibheli futhi wagcina ehambe nalo😂😂😂
cela ungitshela ukuthi sebembulele lomgodoyi please,@mshikaslindile Cela ungitshela ukuthi sebembulele lomgodoyi please 😭💔,tweet_1477921711567867905,cela ungitshela ukuthi sebembulele lomgodoyi please 😭💔
asiyifonele lenumber ngoba uthi awuyazi,“Asiyifonele le’number ngoba uthi awuyazi” 😭😭😭😭😭😭,tweet_1496087208662552576,asiyifonele lenumber ngoba uthi awuyazi 😭😭😭😭😭😭
amaroma siyazi ukuthi kwabamthandayo unkulunkulu konke kusebenzelana kube ngokuhle kulabo ababiziweyo ngecebo lakhe amen sibonga ukuvuka,"@ulibolokuqala @ukhozi_fm AmaRoma 8 28 Siyazi ukuthi kwabamthandayo uNkulunkulu konke kusebenzelana kube ngokuhle, kulabo ababiziweyo ngecebo lakhe. Amen sibonga ukuvuka 🙏 #UliboLokuqala @Phindi_P_ #LinamandlaLiphilile #Sivukangokukholwa #Sibuyisithemba #KunqobaAbaphikelelayo",tweet_1458979581390643200,amaroma 8 28 siyazi ukuthi kwabamthandayo unkulunkulu konke kusebenzelana kube ngokuhle kulabo ababiziweyo ngecebo lakhe amen sibonga ukuvuka 🙏
kahle kahle siphelezela u vele vele elyfini we stan queen,Kahle kahle siphelezela u @bonang_m vele vele elyfini* # we Stan Queen 🥰👏,tweet_1283120657405009921,kahle kahle siphelezela u vele vele elyfini we stan queen 🥰👏
angimfuni nje nami uinga aibo,@mbalienhle_14 @SiweMadlokovu @amahleyamela @ZethembileM @Robinkomape @Phinutty_ Angimfuni nje nami uInga aibo 🤧🤧🤧🤧,tweet_1280390557806866432,angimfuni nje nami uinga aibo 🤧🤧🤧🤧
nayo ayikho nje angiyanzi lento‍️,"@davincemthiya Nayo ayikho nje, angiyanzi lento🤦🏻‍♂️",tweet_1275664445113610240,nayo ayikho nje angiyanzi lento🤦🏻‍♂️
ukhalela i r shuthi ungaquleka kulama investment ka instagram,@Neo_kaMzimkhulu Ukhalela i R100 shuthi ungaquleka kulama investment ka Instagram 🤣,tweet_1528760479363080192,ukhalela i r100 shuthi ungaquleka kulama investment ka instagram 🤣
uyena kanye osuse izinkulumo izolo,@snoshabangu @CobhozaR Uyena kanye osuse izinkulumo izolo. 😂,tweet_1396008486484459520,uyena kanye osuse izinkulumo izolo 😂
kodwa lo owahleba ngami kwasassa wathi ngiyasebenza kulungile,Kodwa lo owahleba ngami kwa-SASSA wathi ngiyasebenza! 😭😭😭 Kulungile!🤞,tweet_1457614601118494721,kodwa lo owahleba ngami kwasassa wathi ngiyasebenza 😭😭😭 kulungile🤞
ukuba ngyayfuna trust mengabe ngnayo,"Ukuba ngyayfuna trust me,ngabe ngnayo😂🤣 https://t.co/9t3XdmYjKe",tweet_1238886970207735809,ukuba ngyayfuna trust mengabe ngnayo😂🤣
lol pho wena uhlekani shuthi ama hurt feelings akho ayakuhlekisa,@Nduey_Escobar Lol pho wena uhlekani. Shuthi ama hurt feelings akho ayakuhlekisa😂,tweet_1290957845391912960,lol pho wena uhlekani shuthi ama hurt feelings akho ayakuhlekisa😂
ubundiza kakhulu nawe for a starter,Ubundiza kakhulu nawe for a starter. 😂 https://t.co/Q2meCd7YVN,tweet_1437830255536902149,ubundiza kakhulu nawe for a starter 😂
ngiyabonga bhuti ngiyabonga kakhulu ukuzama nje,@SiyaSMbatha1 Ngiyabonga bhuti 🙏. Ngiyabonga kakhulu. Ukuzama nje.,tweet_1335105720711311361,ngiyabonga bhuti 🙏 ngiyabonga kakhulu ukuzama nje
abahluphi shem abantu abadala,@MweliNtobeko 😂 abahluphi shem abantu abadala,tweet_1483747425382809601,😂 abahluphi shem abantu abadala
haibo ngathenga nje nalapho,@NxeleSabelo_86 Haibo! Ngathenga nje nalapho 🥺,tweet_1516371863039094789,haibo ngathenga nje nalapho 🥺
into azoyidakwa ubaby tomorrow uma esegeza️,Into azoyidakwa uBaby tomorrow uma esegeza😂☝️ https://t.co/cgtI0Hn9jP,tweet_1334910767800459271,into azoyidakwa ubaby tomorrow uma esegeza😂☝️
lol this is a good challenge ngiyathemba ukuthi uyazethemba,"@Mhlangabezi_ Lol, this is a good challenge, ngiyathemba ukuthi uyazethemba. 😂😂😂",tweet_1275910943839485952,lol this is a good challenge ngiyathemba ukuthi uyazethemba 😂😂😂
muhale ngathi buye adle ukudla kweziboshwa yini le,Muhale ngathi buye adle ukudla kweziboshwa 😂 yini le? https://t.co/oWuzXahGGP,tweet_1375052245281165312,muhale ngathi buye adle ukudla kweziboshwa 😂 yini le
kodwa ngathi imnandi ngiyayhalela,@ntwen_hle Kodwa ngathi imnandi😂 ngiyay'halela,tweet_1315550528244510720,kodwa ngathi imnandi😂 ngiyayhalela
cela ukzobhukuda mfethu lapho edladleni,- @_msiziandile cela ukzobhukuda mfethu lapho edladleni 🥺,tweet_1475440915418423301,cela ukzobhukuda mfethu lapho edladleni 🥺
mina ngithi inkosi yamagcokama,Mina ngithi... Inkosi Yamagcokama 🔥🔥🔥 #One_Night_Stand_2021,tweet_1468834018502266883,mina ngithi inkosi yamagcokama 🔥🔥🔥
fakhi yaz mina senglala thu awaz kanti yini,@Tholamdl Fakhi! Yaz mina senglala Thu awaz kanti yini?😭 https://t.co/6eIrWQYied,tweet_1523047274233819136,fakhi yaz mina senglala thu awaz kanti yini😭
iphazamise ingxoxo yethu no kodwa sizobanaye ngolwesibili ngesonto elizayo ngo h,#LoadShedding iphazamise ingxoxo yethu no @mihlalii_n kodwa sizobanaye ngolwesibili ngesonto elizayo ngo 11h25. 🙏 #Jabulujule,tweet_1400740512265650180,iphazamise ingxoxo yethu no kodwa sizobanaye ngolwesibili ngesonto elizayo ngo 11h25 🙏
ay lo dlamini ngathi ushuthwe ngemobicel,@Phislash Ay lo Dlamini ngathi ushuthwe ngeMobicel🥺🥺 https://t.co/qmmlXpahG8,tweet_1506269171029471233,ay lo dlamini ngathi ushuthwe ngemobicel🥺🥺
awu manzini isewumbuzo akukachathwa bafo kahle uksabisa,@2bhobho9 Awu Manzini isewumbuzo akukaChathwa bafo kahle uksabisa.😂🥂,tweet_1274660483950411776,awu manzini isewumbuzo akukachathwa bafo kahle uksabisa😂🥂
be juice ya lapho emnandi nekhekhe,@Mshishi6 @theSANBS Be juice ya lapho emnandi nekhekhe🙈,tweet_1254112563094265860,be juice ya lapho emnandi nekhekhe🙈
angbazi mina lobu lbthongo obungaka buvelaphi,@Vooyorlwethu Angbazi mina lobu lb'thongo obungaka buvelaphi🥱🥱🥱 https://t.co/jCquxYeScw,tweet_1389608707349262340,angbazi mina lobu lbthongo obungaka buvelaphi🥱🥱🥱
ayi ngikuzwa kahle bafo,@cphomgazi @Bheki_Nyathi ayi ngikuzwa kahle bafo😂,tweet_1525837274390446080,ayi ngikuzwa kahle bafo😂
hhay ukuthi nje ngine worry,@iam_sphekay Hhay ukuthi nje ngine worry 🥺,tweet_1271866015618654211,hhay ukuthi nje ngine worry 🥺
i just hope mzukwane ujesu engipha wonke amandla ngyoziphilela mina nawo wonke osendelene nami ayi abanye abantu,I just hope mzukwane uJesu engipha Wonke amandla... Ngyoziphilela mina nawo wonke osendelene nami Ayi abanye abantu .. 🙏,tweet_1336975824608780293,i just hope mzukwane ujesu engipha wonke amandla ngyoziphilela mina nawo wonke osendelene nami ayi abanye abantu 🙏
ayyy ayyy mina nje i love to see it ngifuna yenzeke skoon,Ayyy ayyy Mina nje I love to see it.... Ngifuna yenzeke skoon😂 https://t.co/0LNylxvOB5,tweet_1213185699215822848,ayyy ayyy mina nje i love to see it ngifuna yenzeke skoon😂
mina nje cela ningifaka i always rt,@Nomagugu_B Mina nje cela ningifaka I always RT 🙏,tweet_1311681258280423424,mina nje cela ningifaka i always rt 🙏
ngiyithathaphi nje mfethu lapho ubone kahle ukuthi bengilalele okunye hence the whatsapp still wathula ngo,@Mfanakagogo13 ngiyithathaphi nje mfethu? lapho ubone kahle ukuthi bengilalele okunye (hence the whatsapp) still wathula ngo320 😪,tweet_1254097026234626048,ngiyithathaphi nje mfethu lapho ubone kahle ukuthi bengilalele okunye hence the whatsapp still wathula ngo320 😪
mina angihluphi kodwa abangani bami bayanghluphisa,-mina angihluphi. kodwa abangani bami bayanghluphisa 😭,tweet_1462979732975271937,mina angihluphi kodwa abangani bami bayanghluphisa 😭
try it bese uyabuya ungatshela ukuthi ngiyadelela yini,@KaieMomoti Try it bese uyabuya ungatshela ukuthi ngiyadelela yini😅🤭,tweet_1220261297796927489,try it bese uyabuya ungatshela ukuthi ngiyadelela yini😅🤭
hau mlu yindaba ngibusy kakhulu,"Hau Mlu yindaba, Ngibusy kakhulu? 🤣😂😂😂 https://t.co/wJUAbSlFXk",tweet_1544972311983529984,hau mlu yindaba ngibusy kakhulu 🤣😂😂😂
lol ngicela uphume kimi kokuqala nje ngilale ngi lambile cos uthe i mustnt eat,@phumlaniN5 Lol ngicela uphume kimi 😂😂😂😂😂😂😂😂😂😂😂😂😂 kokuqala nje ngilale Ngi lambile cos uthe I mustn’t eat 😩😩 https://t.co/uC3worvRX8,tweet_1301074188145487873,lol ngicela uphume kimi 😂😂😂😂😂😂😂😂😂😂😂😂😂 kokuqala nje ngilale ngi lambile cos uthe i mustnt eat 😩😩
angi dlisiwe mina i mina engidlisa bona,@ndlelankosi @MaZweede 😂 😂 Angi dlisiwe mina. I mina engidlisa bona,tweet_1222574840797974531,😂 😂 angi dlisiwe mina i mina engidlisa bona
ewu bafo usho ukuthi bayeba,@MbongiThe @UmalambaneZN Ewu bafo usho ukuthi bayeba 😂😂😂😂,tweet_1337830307177885696,ewu bafo usho ukuthi bayeba 😂😂😂😂
ay yabona nje bafo lento oyenzayo uyasiqatha,@IsNtombela Ay yabona nje bafo lento oyenzayo uyasiqatha 🤞🏿,tweet_1260820146442194951,ay yabona nje bafo lento oyenzayo uyasiqatha 🤞🏿
nakhula kahle impela sizwe nani shova ama bicycle nge kick and bhoboza,"@SizweDhlomo Nakhula kahle impela Sizwe, nani shova ama Bicycle nge kick and bhoboza. 🔥😂",tweet_1236353375605751810,nakhula kahle impela sizwe nani shova ama bicycle nge kick and bhoboza 🔥😂
never ayenziwa leyonto kulomkhakha wezindaba kodwa ke umfundi yena ngiyamziba,"@Zethu_L 😂 never, ayenziwa leyonto kulomkhakha wezindaba. Kodwa ke umfundi yena ngiyamziba.",tweet_1440007881240240131,😂 never ayenziwa leyonto kulomkhakha wezindaba kodwa ke umfundi yena ngiyamziba
eish i know this kodwa nabo mabangazalike kakhulu ay,@malusi_February Eish i know this kodwa nabo mabangazali-ke kakhulu ay 😭😭😭,tweet_1328394961360998403,eish i know this kodwa nabo mabangazalike kakhulu ay 😭😭😭
ngihlala e south coat mina,@Menelisi_N Ngihlala e South Coat mina 😆,tweet_1264586129858314241,ngihlala e south coat mina 😆
nginomfazi mina ukhuluma ngani manje,@KingLukeMorgan Nginomfazi mina ukhuluma ngani manje?😅,tweet_1232665397448658944,nginomfazi mina ukhuluma ngani manje😅
ey mina ayikaze kodwa ke nalapho ngabe ingisizile,"@lethu_Hadebe Ey mina ayikaze, kodwa ke nalapho ngabe ingisizile 😅",tweet_1505241270398164998,ey mina ayikaze kodwa ke nalapho ngabe ingisizile 😅
leli langa lokhipha u beer efrijini ‍️ ️,Leli langa lokhipha u beer 🍻 efrijini 🤦🏾‍♂️ ☀️,tweet_1478699672046907397,leli langa lokhipha u beer 🍻 efrijini 🤦🏾‍♂️ ☀️
kodwa why uharriet engakfuni ekbeni umuhle kanje,Kodwa why uHarriet engak’funi ek’beni umuhle kanje. 😩🔥 https://t.co/J2VaHEaRYp,tweet_1217184135757881348,kodwa why uharriet engakfuni ekbeni umuhle kanje 😩🔥
hawu kodwa mashukela yini ukungisukela,@shuggashake @Thubahh__M Hawu kodwa Mashukela yini ukungisukela😂😂😂😂😂,tweet_1449238576638607360,hawu kodwa mashukela yini ukungisukela😂😂😂😂😂
ey ngabe basibukisile ngabantu ngase ngisaba before the lockdown iform yase ibheda ngalendlela but were winning this one noma kanjani,"@Mcebomfeka @IIKHUNE_32_16 😂😂😂 Ey ngabe basibukisile ngabantu, ngase ngisaba before the lockdown iform yase ibheda ngalendlela. But we're winning this one noma kanjani",tweet_1295422215459147776,😂😂😂 ey ngabe basibukisile ngabantu ngase ngisaba before the lockdown iform yase ibheda ngalendlela but were winning this one noma kanjani
kusho umahlalela that part hit home,“Kusho umahlalela” that part hit home 💔,tweet_1297583534891311106,kusho umahlalela that part hit home 💔
ai zamo sebenzani besisebenza udec wonke nibhiyoza,@zamotdurban Ai Zamo sebenzani besisebenza uDec wonke nibhiyoza😂😂,tweet_1215622020647542784,ai zamo sebenzani besisebenza udec wonke nibhiyoza😂😂
‍️ its been good guys sesicela uku cleaner manje nibuye futhi ngo december siyabonga,🏊‍♀️⛱ it’s been good guys sesicela uku cleaner manje nibuye futhi ngo December. Siyabonga 🤪 https://t.co/jnUKNREl6K,tweet_1213761994999967744,🏊‍♀️⛱ its been good guys sesicela uku cleaner manje nibuye futhi ngo december siyabonga 🤪
on my way home from work ngaze ngalamba kazi kuphekiwe yini la ngiyakhona,"On my way home from work, ngaze ngalamba. Kazi kuphekiwe yini la ngiyakhona.........😥😥😥 https://t.co/uoOanGB4OF",tweet_1406604974830854146,on my way home from work ngaze ngalamba kazi kuphekiwe yini la ngiyakhona😥😥😥
ngvele ngadinga umshanelo nam kuze kube ngcono ekhaya,@ThandoMagane Ngvele ngadinga umshanelo Nam kuze kube ngcono ekhaya😩,tweet_1394268248594583557,ngvele ngadinga umshanelo nam kuze kube ngcono ekhaya😩
nami bengizosho nje kodwa ngyabonga ukuthi usimelile bafo,"Nami bengizosho nje, kodwa ngyabonga ukuthi usimelile bafo😅👊 https://t.co/Bo7r2ca6h0",tweet_1432823520686399493,nami bengizosho nje kodwa ngyabonga ukuthi usimelile bafo😅👊
mina dokotela nginabantabadala if sebengasakufuni then kumele ngikuchithe,@OlwethuVilakazi Mina dokotela nginabantabadala if sebengasakufuni then kumele ngikuchithe 🤷🏼,tweet_1392844266519531520,mina dokotela nginabantabadala if sebengasakufuni then kumele ngikuchithe 🤷🏼
nami ngavele ngaqhaqhazela ngoba usho mina at first i wanted to tag you ngabuya ngathi no naye akazibonele nami khona engibaficile lana abangangitagganga yhuh saze salithwala idombolo,@Tsepiso_MK @BabesWesfaca Nami ngavele ngaqhaqhazela ngoba usho mina at first I wanted to tag you ngabuya ngathi “ no naye akazibonele nami khona engibaficile lana abangangitagganga” yhuh saze salithwala idombolo😂😂😂,tweet_1238774286812397568,nami ngavele ngaqhaqhazela ngoba usho mina at first i wanted to tag you ngabuya ngathi no naye akazibonele nami khona engibaficile lana abangangitagganga yhuh saze salithwala idombolo😂😂😂
le oyizwa kuwena sis ️,Le oyizwa kuwena Sis ❤️ https://t.co/MDpqDKJxT1,tweet_1304942722869014530,le oyizwa kuwena sis ❤️
aw bafo inani le ngoba on cold and rainy days its a coupé mase lishisa uvula inqondo kube islahla,"@Bongusandisiwe @Mzamo118 😂😂aw bafo inani le ngoba on cold and rainy days it's a coupé, mase lishisa uvula inqondo kube islahla",tweet_1482404544449740805,😂😂aw bafo inani le ngoba on cold and rainy days its a coupé mase lishisa uvula inqondo kube islahla
ngiyathanda ukuklinywa mina though,#lrt ngiyathanda ukuklinywa mina though 😔,tweet_1236231944582696961,ngiyathanda ukuklinywa mina though 😔
abantu abasebenzela umlungu shiya mina ngisebenzela ulokhuzana,@NgceboMthiya Abantu abasebenzela umlungu shiya mina ngisebenzela ulokhuzana 🥺🥺,tweet_1470068630004150274,abantu abasebenzela umlungu shiya mina ngisebenzela ulokhuzana 🥺🥺
nina nje niyathanda ukuskhulumisa,nina nje niyathanda ukuskhulumisa😔😔,tweet_1512473741556649991,nina nje niyathanda ukuskhulumisa😔😔
kune intern yase clermont enikwe ama logins details kulezinsuku,Kune Intern yase Clermont enikwe ama logins details kulezinsuku😃 https://t.co/ouEbLs9sbA,tweet_1320645160666124289,kune intern yase clermont enikwe ama logins details kulezinsuku😃
cela nimtshele ukuthi ngiyamdinga,Cela nimtshele ukuthi ngiyamdinga🥺🤤 https://t.co/KrTm1ne4EI,tweet_1475349745812004864,cela nimtshele ukuthi ngiyamdinga🥺🤤
akuphutha lami ukuthi abawulaleli umaskandi,@2le_Fuze Akuphutha lami ukuthi abawulaleli uMaskandi. 😂😂,tweet_1448909557821067281,akuphutha lami ukuthi abawulaleli umaskandi 😂😂
lo nyaka usuwenze lukhulu baningi abashonayo,@thandoh_fuze Lo nyaka usuwenze lukhulu baningi abashonayo 💔,tweet_1466734063113416706,lo nyaka usuwenze lukhulu baningi abashonayo 💔
eyi siyaziphoqa izinto emhlabeni noma isimo singavumi kodwa asikho lapho intshebe yalobhuti ayinginiki ukuthula emhlabeni ka jehova,"Eyi siyaziphoqa izinto emhlabeni noma isimo singavumi,😊 kodwa asikho lapho intshebe yalobhuti ayinginiki ukuthula🤔😂😂 @ Emhlabeni Ka Jehova https://t.co/BdQ9YTLDeY",tweet_1430452405414633472,eyi siyaziphoqa izinto emhlabeni noma isimo singavumi😊 kodwa asikho lapho intshebe yalobhuti ayinginiki ukuthula🤔😂😂 emhlabeni ka jehova
over the past weekend ngibhidlize ubngani ba+ years ngento ebingagwemeka kube ubdedengu bami,Over the past weekend ngibhidlize ub’ngani ba’6+ years ngento ebingagwemeka 😔 kube ub’dedengu bami.,tweet_1384417941920288771,over the past weekend ngibhidlize ubngani ba6+ years ngento ebingagwemeka 😔 kube ubdedengu bami
wenza kahle nami ngimile nje and it has been weeks already ngimatasa nezinto zasedlozini angicabangi nje,@IamThobani Wenza kahle nami ngimile nje and it has been 2 weeks already ngimatasa nezinto zasedlozini angicabangi nje😂😩,tweet_1390926447674593289,wenza kahle nami ngimile nje and it has been 2 weeks already ngimatasa nezinto zasedlozini angicabangi nje😂😩
ubafo usethe angiyeke i told him about it wathi hhayi angihoxise,"@Hilton31_Radebe @iKingVele_Le uBafo usethe angiyeke, I told him about it wathi hhayi angihoxise 😂",tweet_1244563394847363073,ubafo usethe angiyeke i told him about it wathi hhayi angihoxise 😂
likhona emakethe ukuthi nje asilqedanga,"Likhona eMakethe, ukuthi nje asil’qedanga 😌😂😂😂😂😂 https://t.co/JRwhZVW9HA",tweet_1527012013385433090,likhona emakethe ukuthi nje asilqedanga 😌😂😂😂😂😂
konje kwake kwathiwa lona akekho muhle ay ngoba abantu yazi smh,Konje kwake kwathiwa lona akekho Muhle 🤔. . . Ay ngoba abantu yazi... SMH https://t.co/IYl2KRoz9t,tweet_1451058342315634698,konje kwake kwathiwa lona akekho muhle 🤔 ay ngoba abantu yazi smh
yazi mawngabamba noma iqhude nje sisule umlomo,"@ZuzileMkhize Yazi Mawngabamba Noma Iqhude Nje Sisule Umlomo, 😂😂",tweet_1225413419517521922,yazi mawngabamba noma iqhude nje sisule umlomo 😂😂
yebo ngivumelana nawe lapho but kodwa tsonga pple calls themselves amashangane,"@johny_theblessd Yebo ngivumelana nawe lapho but kodwa Tsonga pple calls themselves ""Amashangane""🤔🤔",tweet_1287047226687201282,yebo ngivumelana nawe lapho but kodwa tsonga pple calls themselves amashangane🤔🤔
mina never ngiphel umoya,@BEAST_RSA 🔥🔥🔥🔥 Mina Never Ngiphel’ Umoya 🔥🔥🔥 https://t.co/z8VARa7Dj8,tweet_1321374195360669696,🔥🔥🔥🔥 mina never ngiphel umoya 🔥🔥🔥
nize niphathane kahle wena nkosazane ne ndlalifa ️,@nue_sam Nize niphathane kahle wena nkosazane ne Ndlalifa ❣️,tweet_1332782105894510594,nize niphathane kahle wena nkosazane ne ndlalifa ❣️
phuma nje futhi lapho,@touchsandile 🤣🤣🤣🤣 phuma nje futhi lapho,tweet_1262776840231497730,🤣🤣🤣🤣 phuma nje futhi lapho
yaphela kanjalo i weekend,Yaphela kanjalo I weekend 😭,tweet_1495084983542861827,yaphela kanjalo i weekend 😭
i need food guys noma ikuphi ke nginqena ukuyopheka,"@Tham_iie @Boet_Duma 😂😂😂😂 i need food guys, noma ikuphi ke nginqena ukuyopheka",tweet_1225046392198045701,😂😂😂😂 i need food guys noma ikuphi ke nginqena ukuyopheka
mina ngithi woza espingo its worse,@BlUey_Duma Mina ngithi woza espingo 😭😭😭 it's worse.,tweet_1416134547117383680,mina ngithi woza espingo 😭😭😭 its worse
ngimuzwe ehefuzela wathi angimufonele after minutes ngamufonela nami ngempela kwathi sesiqeda kukhuluma ngezwa ngezwi lendoda likhuluma ngemumva wase wathi yena uyagodola yini yaphendula imambane yathi wozolala ngidube ukudla emva kwalokho angikaze ngikhulume kusile,"Ngimuzwe ehefuzela wathi angimuFonele after 10 minutes. 😭😭 NgamuFonela nami ngempela kwathi sesiqeda kukhuluma ngezwa ngezwi leNdoda likhuluma ngemumva wase wathi yena ""Uyagodola yini?"" Yaphendula iMambane yathi wozolala Ngidube ukudla emva kwalokho angikaze ngikhulume kusile https://t.co/cEqB1mjog3",tweet_1324657298279747590,ngimuzwe ehefuzela wathi angimufonele after 10 minutes 😭😭 ngamufonela nami ngempela kwathi sesiqeda kukhuluma ngezwa ngezwi lendoda likhuluma ngemumva wase wathi yena uyagodola yini yaphendula imambane yathi wozolala ngidube ukudla emva kwalokho angikaze ngikhulume kusile
babe ngehle kuphi ehla noma yikuphi la uthanda khona angifuni uthi ngiyaku controller ke december gents focus,👩: Babe ngehle kuphi? 👨: Ehla noma yikuphi la uthanda khona angifuni uthi ngiyaku controller🙄 Ke December gents focus🤙🏾🤣🤣,tweet_1338719925326778370,👩 babe ngehle kuphi 👨 ehla noma yikuphi la uthanda khona angifuni uthi ngiyaku controller🙄 ke december gents focus🤙🏾🤣🤣
ngiyajabula uma uphila ume nje mageba,@Ntombiyomzoeloe Ngiyajabula uma uphila. Ume nje Mageba. 😊,tweet_1541362556085964800,ngiyajabula uma uphila ume nje mageba 😊
muhleke kodwa u sthe,Muhleke kodwa u Sthe 😍 https://t.co/6IOkWALPq0,tweet_1231562471112089600,muhleke kodwa u sthe 😍
lomlisa lo uyiduku elibomvu akungacashwa nje ngeshlava isihlasele kulelizwe what we saw was a flush out vs a searching for kodwa ke his header says it all,"Lomlisa lo uyiduku elibomvu 🚩 Akungacashwa nje nges’hlava isihlasele kulelizwe. What we saw was a “flush out” vs a “searching” for. Kodwa ke, his header says it all...",tweet_1340654243330613252,lomlisa lo uyiduku elibomvu 🚩 akungacashwa nje ngeshlava isihlasele kulelizwe what we saw was a flush out vs a searching for kodwa ke his header says it all
